Measuring Tool:  DLTP side facing 
Mirror Designation:  MAESTRO-U M1
File Location:  D:\ALS-U\M1\DataAndAnalysis\hhloM1_F219002_IntegratedHeight.dat
Processing Date:  Fri 27 Mar 2026 16:31:39
MirrorLength =  148. mm
Number of data:  741
Original Data:  *\ScanDataFiles\DLTP side facing \
Measurement Date:  
History:   
History:   
History:  HistoryC 

Data Type:  Height
Step size:  0.2
X unit:  mm
Z unit:  nm
Specified Peak to Valley in microrad:  
Specified Root Mean Square in microrad:  0.7 nm rms
Specified Clear Aperture in mm:  150




Source to mirror center in meters:  
Center to focus in meters:  
Grazing Incidence Angle in radians:  
Normal Incidence Angle in degrees:  
Tangential Surface Shape:  Flat
Orientation:  TBD
Clear aperture first point number:  1
Clear Aperture last point number:  741
Clear aperture center point number:  371
Face up or face down:  up










*Data starts.
-74.	-0.520922895412123
-73.8	0.2664690499256325
-73.6	0.9501748573772805
-73.4	1.566977408278399
-73.2	2.1387698196580924
-73.	2.6810021407382303
-72.8	3.2032821200272537
-72.6	3.713049825492652
-72.4	4.2157249448468015
-72.2	4.710397855704758
-72.	5.196728806597178
-71.8	5.677830419579297
-71.6	6.15161280790405
-71.4	6.61559871215218
-71.2	7.073885214080409
-71.	7.528132670651952
-70.8	7.975335463347344
-70.6	8.418699528197209
-70.4	8.859958196716182
-70.2	9.296821160095183
-70.	9.732640924147386
-69.8	10.168202537951304
-69.6	10.601942702789156
-69.4	11.033617044043044
-69.2	11.463313844131578
-69.	11.892533494457886
-68.8	12.320661486606529
-68.6	12.748063615481348
-68.4	13.174729967432745
-68.2	13.59979632690392
-68.	14.023900360217297
-67.8	14.447225164504935
-67.6	14.870656615687112
-67.4	15.294195854830337
-67.2	15.715844454360976
-67.	16.133339626269855
-66.8	16.545706707413824
-66.6	16.9557570010678
-66.4	17.363577337266772
-66.2	17.771759864033747
-66.	18.181544666441248
-65.8	18.588305941372294
-65.6	18.99380130281042
-65.4	19.397620022348423
-65.2	19.796365024244572
-65.	20.19404522526257
-64.8	20.594268428021206
-64.6	20.995253451678295
-64.4	21.3950809976229
-64.2	21.795957767313187
-64.	22.197623330168792
-63.8	22.597068500008252
-63.6	22.995147411040165
-63.4	23.393653632623508
-63.2	23.791983763294304
-63.	24.190390512099835
-62.8	24.58997623349311
-62.6	24.987336725648813
-62.4	25.381030902275914
-62.2	25.771332018191885
-62.	26.157206756496507
-61.8	26.539378586577026
-61.6	26.919719157367762
